Standard Work Content Title Name,Standard Work Content ID,Standard Work Content UID,Asset Family Name,File code associated,Maintenance Task ID
"Test for AltMOS - CRT with service actuals - MT Execute testing ",	8637,	30bc8740-b996-480f-92ea-01f73f44d271,"SAPITT TEST",INTK-REDA-BOI-ARZ-400|1002234111|1002272282|PROT-MAX-LSBPB-540|PROT-MAX-LSBSB-400|AGH-RC-C-ARZ-400|PROT-MAX-BPBSBSB-400|1002249737|PROT-MAX-BSBSBSB-400|CBL-LEAD-ELC-LPF|1002239522|1002250418|CBL-BLEAD-500-F|1000060087|PMP-REDA-CR-ARZ-400|1002249861|1002249860|1002245035|PMP-RC-CR-ARZ-400|PROT-MAX-LSBPB,MPTPO6000002034:0010|MPTPO6000002034:0020|MPTPO6000002034:0030|MPTPO6000002034:0040|I4240016311010|I4240016311030|I4240016311040|I4240016311050|I4240016311070|I4240016311020|MPTPO6000002181:0010|MPTPO60000021810020|AGH-RC-C-ARZ-400|MPTSO1000060027:1080
"777-99503 - SL 1",	835346,	777_99503-1,"MMA BB asset family",MMA-BB,SL2|SL-2
"Execute Site Emergency Response Plan - H2S",	43044,	4740035c-d7ea-4f21-a6e2-f5d4a470d023,"SCAR-A Family",SCAR-A,MXT24493
"MT Execute - Sub Steps with Images",	7594,	8d628def-9fe3-4509-ab42-21a6a1dab9c0,"E2E with Content Asset Type List",EQ-80004112|EQ-71001260|CL-PSTRIP|EQ-80038468|EQ-80034732|EQ-103467717|EQ-100002878|ARCONN|1002233981|Q-80022216|EQ-19247|EQ-101400223|EQ-M-525-40-001|IV-SKF-45|EQ-M805707|1002233964|EQ-80010677|EQ-SSM57501P0312|EQ-80010712|AH-104|EQ-80011535|QVXP-F|SLIPS,MXT118506
"Muzic - MZGAA-A SL1 Maintenance SWI",	135144,	0003458690,"MZGAA",MZGAA-A,MXT10548
"StandardWork For Qtrac WOTemplateId 2005524 and ServiceLevel 1",	0,	2005524-1,"MDCIX",MDCIX-BA|MDCIX-AA|MDCIX-WA|MDCIX-AB|MDCIX-LA|MDCIX-KA|MDCIX|MDCIX-GA,SL1|SL0
"StandardWork For Qtrac WOTemplateId 2005524 and ServiceLevel 1",	0,	2005524-1,"TSIM2",TSIM2-AAB|TSIM2-ABB|TSIM2-AA,SL1
"StandardWork For Qtrac WOTemplateId 2005524 and ServiceLevel 1",	0,	2005524-1,"RTS",RTS-CB,SL1
"StandardWork For Qtrac WOTemplateId 2005524 and ServiceLevel 1",	0,	2005524-1,"HU2",HU2-1502,SL1
"MT Inspect N Level Sub steps",	114810,	63194011-1b2f-424a-bca1-039a4a1c367a,"SLPJ",SLPJ-CA|SLPJ-FAB|SLPJ-GAA|SLPJ-HK,MXT339942
"MT Inspect N Level Sub steps",	114810,	63194011-1b2f-424a-bca1-039a4a1c367a,"FGCA-B ADI",FGCA-B,MXT339768|MXT339769|MXT339770
"Determine Service Deliverables",	176434,	95898550-780e-4459-9de3-3ea1f0569835,"TUXP-JA|RM",TUXP-JA,MXT336587
"Determine Service Deliverables",	176434,	95898550-780e-4459-9de3-3ea1f0569835,"RCAR-X Asset Family",RCAR-X,MXT57733
"Determine Service Deliverables",	176434,	95898550-780e-4459-9de3-3ea1f0569835,"HPPS-TPY LOAD WO",HPPS-TPY,MXT47033
"Determine Service Deliverables",	176434,	95898550-780e-4459-9de3-3ea1f0569835,"163 Cementing Pump Skid",CPF-573|CPS-163,MXT105232
"Determine Service Deliverables",	176434,	95898550-780e-4459-9de3-3ea1f0569835,"SJB-FA QA Testing",SJB-FA,MXT104279
"Determine Service Deliverables",	176434,	95898550-780e-4459-9de3-3ea1f0569835,"PKR-MASV-45 Asset Family",PKR-MASV-45,MXT66374
"Test TLM -[Data to test Child Step]",	174165,	f1b7dc5e-f14f-4d72-9e9d-6e75ccf7f69c,"ASD-MK ADI",ASD-MK,MXT338820
"MT Execute R1 Requirements ",	321717,	6a89d37b-ae20-477b-836a-ec73c2ea53e1,"E2E with Content Asset Type List",EQ-M805707|AH-104|EQ-80011535|SLIPS|QVXP-F|EQ-80010677|EQ-SSM57501P0312|EQ-80010712|IV-SKF-45|1002233964|EQ-M-525-40-001|EQ-19247|EQ-101400223|Q-80022216|1002233981|EQ-71001260|CL-PSTRIP|EQ-80004112|EQ-80034732|EQ-80038468|EQ-100002878|ARCONN|EQ-103467717,MXT271151|MXT136410|MXT136409|MXT136408|MXT136407|MXT118266|MXT118502|MXT118511|MXT118510|MXT118507|MXT118506|MXT118505|MXT120205|MXT120204|MXT338876|MXT338875|MXT338874|MXT118503|MXT118263|MXT118543|MXT113860|MXT113863|MXT119013
"MT Execute R1 Requirements ",	321717,	6a89d37b-ae20-477b-836a-ec73c2ea53e1,"ACP FAM2 SCENARIO2 - MULTIPLE ASSET FAM SAME CODE",FHD-F,MXT74471
"MT Execute R1 Requirements ",	321717,	6a89d37b-ae20-477b-836a-ec73c2ea53e1,"TFTV-FEB",TFTV-FEB,MXT71012|MXT69367
"MT Execute R1 Requirements ",	321717,	6a89d37b-ae20-477b-836a-ec73c2ea53e1,"ACP FAM2 SCENARIO3 - MULTI ASSET FAM SAME MODEL CO",IDW-JA,MXT105248
"Supervise Assembly Make-up",	1988,	0474c975-5171-47af-b6bb-295136a01d8f,"android test",PMP-TPY,MXT115421
"MCMP-Q/S/T Maintenance SWI – SLE-1",	173351,	0003606622,"ASD-MK ADI",ASD-MK,MXT339185|MXT339315
"IRDV-KB - Test Unit [ce9789] for Q-Check (SL 2) SWIs",	86156,	0003458979,"FGCA-B ADI",FGCA-B,MXT339570
